Trialnumber,Trial number,AlienImageFile,ItemImageFile,Item,WordForm,Individualidentity,Species,Outfit,Variant
1,1,A1_1.png,Singular1.png,kabuq,Singular1,A1,A,1,
2,2,A2_1.png,Singular2.png,bupod,Singular2,A2,A,1,
3,3,A3_1.png,Singular3.png,hasot,Singular3,A3,A,1,
4,4,A4_1.png,Singular4.png,wejun,Singular4,A4,A,1,
5,5,A1_1.png,Singular5.png,kenig,Singular5,A1,A,1,
6,6,A2_1.png,Singular6.png,tulimur,Singular6,A2,A,1,
7,7,A3_1.png,Singular7.png,petilet,Singular7,A3,A,1,
8,8,A4_1.png,Singular8.png,ropuko,Singular8,A4,A,1,
9,9,A1_1.png,Singular9.png,luragur,Singular9,A1,A,1,
10,10,A2_1.png,Singular10.png,gunawul,Singular10,A2,A,1,
11,11,A3_1.png,Singular1.png,kabuq,Singular1,A3,A,1,
12,12,A4_1.png,Singular2.png,bupod,Singular2,A4,A,1,
13,13,A1_1.png,Singular3.png,hasot,Singular3,A1,A,1,
14,14,A2_1.png,Singular4.png,wejun,Singular4,A2,A,1,
15,15,A3_1.png,Singular5.png,kenig,Singular5,A3,A,1,
16,16,A4_1.png,Singular6.png,tulimur,Singular6,A4,A,1,
17,17,A1_1.png,Singular7.png,petilet,Singular7,A1,A,1,
18,18,A2_1.png,Singular8.png,ropuko,Singular8,A2,A,1,
19,19,A3_1.png,Singular9.png,luragur,Singular9,A3,A,1,
20,20,A4_1.png,Singular10.png,gunawul,Singular10,A4,A,1,
21,21,A1_1.png,Plural1.png,kabuqdem,Plural1,A1,A,1,2
22,22,A2_1.png,Plural2.png,bupoddem,Plural2,A2,A,1,2
23,23,A3_1.png,Plural3.png,hasotdem,Plural3,A3,A,1,2
24,24,A4_1.png,Plural4.png,wejundem,Plural4,A4,A,1,2
25,25,A1_1.png,Plural5.png,kenigdem,Plural5,A1,A,1,2
26,26,A2_1.png,Plural6.png,tulimurdem,Plural6,A2,A,1,2
27,27,A3_1.png,Plural7.png,petiletdem,Plural7,A3,A,1,2
28,28,A4_1.png,Plural8.png,ropukodem,Plural8,A4,A,1,2
29,29,A1_1.png,Plural9.png,luragurdem,Plural9,A1,A,1,2
30,30,A2_1.png,Plural10.png,gunawuldem,Plural10,A2,A,1,2
31,31,A3_1.png,Plural1.png,kabuqdem,Plural1,A3,A,1,2
32,32,A4_1.png,Plural2.png,bupoddem,Plural2,A4,A,1,2
33,33,A1_1.png,Plural3.png,hasotdem,Plural3,A1,A,1,2
34,34,A2_1.png,Plural4.png,wejundem,Plural4,A2,A,1,2
35,35,A3_1.png,Plural5.png,kenigdem,Plural5,A3,A,1,2
36,36,A4_1.png,Plural6.png,tulimurdem,Plural6,A4,A,1,2
37,37,A1_1.png,Plural7.png,petiletdem,Plural7,A1,A,1,2
38,38,A2_1.png,Plural8.png,ropukodem,Plural8,A2,A,1,2
39,39,A3_1.png,Plural9.png,luragurdem,Plural9,A3,A,1,2
40,40,A4_1.png,Plural10.png,gunawuldem,Plural10,A4,A,1,2
41,41,B1_2.png,Singular1.png,kabuq,Singular1,B1,B,2,
42,42,B2_2.png,Singular2.png,bupod,Singular2,B2,B,2,
43,43,B3_2.png,Singular3.png,hasot,Singular3,B3,B,2,
44,44,B4_2.png,Singular4.png,wejun,Singular4,B4,B,2,
45,45,B1_2.png,Singular5.png,kenig,Singular5,B1,B,2,
46,46,B2_2.png,Singular6.png,tulimur,Singular6,B2,B,2,
47,47,B3_2.png,Singular7.png,petilet,Singular7,B3,B,2,
48,48,B4_2.png,Singular8.png,ropuko,Singular8,B4,B,2,
49,49,B1_2.png,Singular9.png,luragur,Singular9,B1,B,2,
50,50,B2_2.png,Singular10.png,gunawul,Singular10,B2,B,2,
51,51,B3_2.png,Singular1.png,kabuq,Singular1,B3,B,2,
52,52,B4_2.png,Singular2.png,bupod,Singular2,B4,B,2,
53,53,B1_2.png,Singular3.png,hasot,Singular3,B1,B,2,
54,54,B2_2.png,Singular4.png,wejun,Singular4,B2,B,2,
55,55,B3_2.png,Singular5.png,kenig,Singular5,B3,B,2,
56,56,B4_2.png,Singular6.png,tulimur,Singular6,B4,B,2,
57,57,B1_2.png,Singular7.png,petilet,Singular7,B1,B,2,
58,58,B2_2.png,Singular8.png,ropuko,Singular8,B2,B,2,
59,59,B3_2.png,Singular9.png,luragur,Singular9,B3,B,2,
60,60,B4_2.png,Singular10.png,gunawul,Singular10,B4,B,2,
61,61,B1_2.png,Plural1.png,kabuqgok,Plural1,B1,B,2,1
62,62,B2_2.png,Plural2.png,bupodgok,Plural2,B2,B,2,1
63,63,B3_2.png,Plural3.png,hasotgok,Plural3,B3,B,2,1
64,64,B4_2.png,Plural4.png,wejungok,Plural4,B4,B,2,1
65,65,B1_2.png,Plural5.png,keniggok,Plural5,B1,B,2,1
66,66,B2_2.png,Plural6.png,tulimurgok,Plural6,B2,B,2,1
67,67,B3_2.png,Plural7.png,petiletgok,Plural7,B3,B,2,1
68,68,B4_2.png,Plural8.png,ropukogok,Plural8,B4,B,2,1
69,69,B1_2.png,Plural9.png,luragurgok,Plural9,B1,B,2,1
70,70,B2_2.png,Plural10.png,gunawulgok,Plural10,B2,B,2,1
71,71,B3_2.png,Plural1.png,kabuqgok,Plural1,B3,B,2,1
72,72,B4_2.png,Plural2.png,bupodgok,Plural2,B4,B,2,1
73,73,B1_2.png,Plural3.png,hasotgok,Plural3,B1,B,2,1
74,74,B2_2.png,Plural4.png,wejungok,Plural4,B2,B,2,1
75,75,B3_2.png,Plural5.png,keniggok,Plural5,B3,B,2,1
76,76,B4_2.png,Plural6.png,tulimurgok,Plural6,B4,B,2,1
77,77,B1_2.png,Plural7.png,petiletgok,Plural7,B1,B,2,1
78,78,B2_2.png,Plural8.png,ropukogok,Plural8,B2,B,2,1
79,79,B3_2.png,Plural9.png,luragurgok,Plural9,B3,B,2,1
80,80,B4_2.png,Plural10.png,gunawulgok,Plural10,B4,B,2,1