TestImage2,TestQuestion2
AlienOld1.png,Have you seen this alien before? 
AlienOld2.png,Have you seen this alien before? 
AlienNew2.png,Have you seen this alien before? 
ObjectNew2.png,Have you seen this object before? 
Plural2.png,Have you seen this object before? 
ObjectNew3.png,Have you seen this object before? 
Outfit2.png,Have you seen this outfit before?
Outfit3.png,Have you seen this outfit before?
OutfitNew2.png,Have you seen this outfit before?
tulimurTest.png,Have you seen this word before?
luragurTest.png,Have you seen this word before?
jolim.png,Have you seen this word before?